supplier_id,material_id,unit_price
1,1,14.72
1,2,14.89
1,3,13.27
1,4,4.07
1,5,14.04
1,6,12.18
1,7,24.12
1,8,16.78
1,9,22.82
1,10,25.68
1,11,28.02
1,12,29.6
1,13,20.67
1,14,29.39
1,15,9.81
1,16,3.92
1,17,17.6
1,18,23.57
1,19,4.87
1,20,25.72
1,21,14.81
1,22,12.73
1,23,23.57
1,24,20.87
1,25,26.17
1,26,20.75
1,27,3.78
1,28,21.37
1,29,5.07
2,1,14.82
2,2,11.7
2,3,12.43
2,4,28.41
2,5,13.71
2,6,10.03
2,7,18.3
2,8,18.31
2,9,10.64
2,10,22.81
2,11,19.9
2,12,9.99
2,13,4.56
2,14,5.7
2,15,29.47
2,16,14.44
2,17,6.31
2,18,6.89
2,19,10.19
2,20,28.26
2,21,14.72
2,22,25.71
2,23,17.27
2,24,15.19
2,25,2.41
2,26,9.73
2,27,11.89
2,28,5.32
2,29,26.97
3,1,13.48
3,2,18.67
3,3,20.19
3,4,28.98
3,5,24.95
3,6,25.01
3,7,18.46
3,8,26.81
3,9,2.85
3,10,4.43
3,11,12.15
3,12,20.98
3,13,24.8
3,14,7.1
3,15,2.96
3,16,16.54
3,17,29.62
3,18,29.66
3,19,25.49
3,20,16.61
3,21,16.34
3,22,16.8
3,23,10.52
3,24,8.26
3,25,28.32
3,26,1.03
3,27,5.21
3,28,24.35
3,29,7.29
4,1,2.21
4,2,17.52
4,3,11.81
4,4,29.53
4,5,18.22
4,6,8.58
4,7,11.85
4,8,21.19
4,9,21.31
4,10,10.02
4,11,27.75
4,12,27.84
4,13,25.13
4,14,12.74
4,15,15.15
4,16,23.56
4,17,3.34
4,18,8.37
4,19,26.3
4,20,1.4
4,21,25.63
4,22,3.56
4,23,2.01
4,24,2.36
4,25,8.86
4,26,26.32
4,27,8.35
4,28,16.22
4,29,14.09
5,1,2.83
5,2,22.91
5,3,1.77
5,4,16.15
5,5,25.13
5,6,15.76
5,7,19.14
5,8,15.34
5,9,18.26
5,10,21.07
5,11,10.12
5,12,10.76
5,13,18.14
5,14,5.6
5,15,18.57
5,16,11.53
5,17,20.0
5,18,5.63
5,19,10.6
5,20,23.22
5,21,27.41
5,22,14.25
5,23,26.9
5,24,19.67
5,25,12.24
5,26,28.24
5,27,19.83
5,28,1.2
5,29,5.18
6,1,17.36
6,2,23.43
6,3,28.63
6,4,15.58
6,5,3.35
6,6,14.24
6,7,18.97
6,8,12.91
6,9,11.49
6,10,18.67
6,11,22.36
6,12,10.03
6,13,13.58
6,14,25.32
6,15,28.17
6,16,22.16
6,17,3.09
6,18,7.45
6,19,1.2
6,20,28.87
6,21,6.35
6,22,3.2
6,23,14.14
6,24,1.25
6,25,17.37
6,26,23.03
6,27,3.68
6,28,27.98
6,29,26.42
7,1,7.18
7,2,24.91
7,3,22.29
7,4,14.98
7,5,26.1
7,6,23.39
7,7,1.97
7,8,11.85
7,9,20.89
7,10,11.98
7,11,19.75
7,12,15.67
7,13,11.12
7,14,18.26
7,15,25.0
7,16,5.88
7,17,19.74
7,18,18.51
7,19,9.57
7,20,8.56
7,21,15.04
7,22,24.22
7,23,20.75
7,24,9.58
7,25,9.21
7,26,22.84
7,27,8.12
7,28,10.04
7,29,17.75
8,1,11.53
8,2,27.34
8,3,9.31
8,4,24.38
8,5,2.54
8,6,10.01
8,7,16.92
8,8,9.8
8,9,10.08
8,10,20.83
8,11,13.4
8,12,27.69
8,13,16.13
8,14,22.42
8,15,2.55
8,16,2.07
8,17,25.34
8,18,7.36
8,19,29.03
8,20,14.09
8,21,15.23
8,22,21.34
8,23,15.7
8,24,12.61
8,25,16.6
8,26,24.48
8,27,1.38
8,28,28.26
8,29,21.64
9,1,13.99
9,2,12.3
9,3,17.59
9,4,18.78
9,5,5.04
9,6,22.19
9,7,5.13
9,8,17.63
9,9,1.87
9,10,27.92
9,11,21.24
9,12,23.48
9,13,25.45
9,14,3.42
9,15,11.54
9,16,4.88
9,17,5.5
9,18,13.33
9,19,17.6
9,20,28.28
9,21,2.09
9,22,23.37
9,23,6.17
9,24,19.94
9,25,24.12
9,26,9.95
9,27,4.21
9,28,10.17
9,29,24.26
10,1,3.04
10,2,3.21
10,3,22.3
10,4,17.87
10,5,28.58
10,6,29.07
10,7,17.7
10,8,3.41
10,9,5.44
10,10,15.98
10,11,22.71
10,12,3.45
10,13,12.95
10,14,17.49
10,15,27.25
10,16,7.29
10,17,27.84
10,18,2.93
10,19,9.61
10,20,11.33
10,21,23.75
10,22,11.33
10,23,2.99
10,24,27.49
10,25,14.2
10,26,14.29
10,27,26.96
10,28,12.54
10,29,16.53
